song_id,song_title,s_release_date_str,lyrics,s_image_url
38019838,Pleasure Shop,2024-09-23,"Welcome to the ‘Pleasure Shop’
Come on in
더 깊게
홀려 With me, with me,
with me, with me
I got all
감춰 둔
맘의 Your needs, your needs,
your needs, your needs
Pick and choose
I’m happy when you’re happy,
that’s the truth
Ah yeah
내밀어 준 두 손 끝이 조금 차가워도
기분 탓야 Move
It’s a, it’s the
Pleasure Shop
내게
말해봐 What you want
What you like
너도 몰래 이끌리는 사이
커져가는 Graph의 Up down
지루했던 현실엔
없던 것들의 World
You’re welcome
You’re welcome
You’re welcome
Ah
You’re welcome
You’re welcome
You’re welcome
Ah
In the lounge 여긴 나만이 VIP
멈춘 Real time 속에
네 눈 가리는 Trick
전부 빠짐없게 입력해 Your text
I can give you one, two, three, four
Let’s go
I’m around the corner
We can start freakin’
Look at you 괜찮아 더 겁내 봐
어질해도 거부 못 할 걸
Fantasy, romance, then action
Recipe는 Mix and shake
This gon’ be the great opening
내 온 부품이 너를 반겨 다 맡겨봐
Ah 바뀐 현실의 장르는 Sci-Fi
색 없는 Spotlight
Bet you gonna love it
지금부터가 Highlight
It’s a, it’s the
Pleasure Shop
내게
말해봐 What you want
What you like
너도 몰래 이끌리는 사이
커져가는 Graph의 Up down
지루했던 현실엔
없던 것들의 World
You’re welcome
You’re welcome
You’re welcome
Ah
You’re welcome
You’re welcome
You’re welcome
Ah
Pick and choose
완벽한 계산 속에 찾은 틈
Ah yeah
So what’s the move?
빠져들 수밖에 없는 이유
Whatever I do
It’s a, it’s the
Pleasure Shop
내게
말해봐 What you want
What you like
너도 몰래 이끌리는 사이
더 깊이 갇혀도 좋아
눈을 뜨면 사라질
꿈 꾼 것들의 World
You’re welcome
You’re welcome
You’re welcome
Ah
You’re welcome
You’re welcome
You’re welcome
Ah
You’re welcome",https://cdnimg.melon.co.kr/cm2/album/images/115/97/291/11597291_20240920174440_500.jpg?8d420eb03263d2dfe7f03cddc5b7f8e2/melon/resize/282/quality/80/optimize
841511,즐거운 생활,2005-05-04,"자 이번 시간은 국어시간
영어시간 재미있는 힙합시간
힙합을 많이 알건 말건
그런건 중요하지 않은 잔치시간
잔치시간이 영어로 뭐 party time
선생님들 이름은 뭐 포리파이브
여러분들을 오늘 재미있는 힙합
세계로 인도할 우리는 2인조
45라고도 해 그냥
이렇게 나에게 솔직한 
음악을추구해
누가 누가 좋아할까 걱정 안해
내게 별로 중요하지 않은 승패
어렵게 생각할꺼 하나 없네
쉽게 생각하면 너무쉽네
그대 맘속에 존재하는 리듬에
맞춰 따라 가다 보면
나올꺼야 즐거운 인생 살아가
DJ 따라 리듬에 맞춰
다 판을 문질러
MC 따라 리듬에 맞춰 
다 힙합을 외쳐 힙합
B-boy따라 리듬에 맞춰 
다같이 춤을 쳐 우 우
우릴 따라 리듬에 맞춰 
다같이 손뼉 쳐
내삶과 함께하는 힙합 뮤직
내게 일러준건 오직 정직
학교에서는 깨닫지못한 공식
내사전엔 없는 단어 거짓
우릴믿고 함께하는 사람 무대앞에
영원히 함께하는 나의팀은 옆에
내뒤에 사랑하는가족 친구
이걸로 태어난 음악이란 열매
배고파도 배부른척 사람들 앞에
힘들어서 눈물나도 웃을수밖에
무대에선 즐거웠어 45rpm
돈없어도 힙합있으면 
I don't care
One Two Three Four
4분의4박자로 밀려오고있는
비트에 맞춰 Groove
타고 있는 사천 오백 사십 오억 
사천 오백 사십 오만
사천 오백 사십 오개의 뇌세포
좌뇌로 우뇌로 왔다리 갔다리
머릿속은 난리났네
뇌세포에 파티 음악이 있는 파티 
다같이every body
la di da di we like the party
분노와 증오는 전쟁을 초래
사랑과 평화는 바로 이곡에
너와나 사이를 이어주는 선
리듬과 흐름을 이어가서 다시 턴
싸우지들 말고  헐뜯지들 말고 
아그냥 편하게 생각하면 되는데
왜 서로 이를갈고 열받고 짜증나고
슬플때 너를 위해 
기쁘게해줄께 우우
DJ 따라 리듬에 맞춰 
다 판을 문질러
MC 따라 리듬에 맞춰 
다 힙합을 외쳐 힙합
B-boy 따라 리듬에 맞춰 
다같이 춤을 쳐
우릴 따라 리듬에 맞춰 
다같이 손뼉 쳐
DJ 따라 리듬에 맞춰 
다 판을 문질러
MC 따라 리듬에 맞춰 
다 힙합을 외쳐 힙합
B-boy 따라 리듬에 맞춰 
다같이 춤을 쳐
우릴 따라 리듬에 맞춰 
다같이 손뼉 쳐",https://cdnimg.melon.co.kr/cm/album/images/003/02/427/302427_500.jpg/melon/resize/282/quality/80/optimize
